10 37 54  -59 11 00 
10 38 46  -54 07 24 
10 38 55  -69 02 00 
10 39 59  -59 11 21 
10 41 25  -55 18 20 
10 42 12  -59 08 00 
10 42 12  -65 06 00 
10 42 58  -64 24 00 
10 43 08  -61 10 00 
10 43 56  -59 33 00 
10 44 00  -60 05 12 
10 44 39  -59 33 36 
10 44 43  -59 22 00 
10 45 10  -59 43 00 
10 46 08  -56 51 36 
10 47 15  -60 05 00 
10 47 38  -57 28 02 
10 50 00  -56 24 00 
10 50 53  -60 06 00 
10 52 12  -45 08 54 
10 52 42  -54 14 00 
10 52 50  -59 27 53 
10 52 54  -62 19 00 
10 53 41  -58 14 24 
10 53 47  -61 45 00 
10 54 14  -61 44 16 
10 55 52  -60 24 36 
10 56 32  -63 01 04 
10 56 24  -59 12 00 
10 56 51  -61 07 00 
10 57 24  -61 43 00 
10 58 22  -59 03 00 
10 59 01  -59 29 58 
10 59 23  -59 32 40 
10 59 36  -60 20 12 
11 00 58  -45 21 00 
11 01 04  -60 14 00 
11 01 06  -59 49 00 
11 03 04  -60 55 12 
11 04 24  -61 22 06 
11 04 51  -67 57 00 
11 05 34  -61 15 12 
11 05 39  -58 45 12 
11 05 56  -59 49 00 
11 06 08  -61 06 00 
11 06 19  -61 14 18 
11 07 18  -61 27 00 
11 08 07  -26 43 48 
11 08 41  -60 42 48 
11 09 08  -63 50 00 
11 09 42  -59 06 00 
11 10 23  -60 14 54 
11 10 34  -59 02 00 
11 10 42  -60 24 00 
11 10 43  -60 23 00 
11 11 06  -61 07 12 
11 11 28  -60 40 00 
11 11 37  -60 24 00 
11 11 40  -60 18 35 
11 12 07  -21 21 00 
11 12 59  -60 47 18 
11 13 01  -60 47 00 
11 13 05  -58 53 00 
11 13 37  -55 25 12 
11 15 07  -57 33 00 
11 15 07  -61 15 36 
11 16 18  -60 16 00 
11 17 27  -62 44 00 
11 19 41  -65 13 12 
11 19 42  -63 29 00 
11 20 00  -58 50 00 
11 21 11  -58 13 54 
11 23 03  -58 33 00 
11 25 38  -43 14 36 
11 30 37  -63 26 00 
11 30 51  -60 44 00 
11 30 55  -58 29 00 
11 32 52  -60 43 00 
11 36 14  -61 36 30 
11 38 20  -63 22 22 
11 41 31  -61 01 12 
11 41 34  -62 25 05 
11 42 24  -62 29 00 
11 43 38  -61 08 00 
11 43 42  -62 31 00 
11 43 48  -62 31 00 
11 44 09  -61 04 54 
11 45 30  -62 26 00 
11 49 49  -48 15 06 
11 50 08  -48 14 00 
11 50 33  -55 40 24 
11 50 37  -62 08 00 
11 51 47  -61 17 00 
11 53 15  -62 36 32 
11 56 00  -58 26 00 
11 57 28  -62 43 00 
11 58 40  -64 35 00 
11 59 51  -78 12 27 
12 01 02  -63 13 30 
12 01 41  -64 06 00 
12 02 55  -60 55 30 
12 03 04  -63 51 00 
12 05 53  -62 37 00 
12 06 36  -69 46 12 
12 06 40  -61 15 00 
12 07 46  -59 18 00 
12 08 19  -60 39 00 
12 09 38  -62 59 00 
12 10 30  -59 29 00 
12 13 02  -62 42 23 
12 13 33  -62 43 00 
12 14 03  -63 35 36 
